Data Source,,,,,,
,,,,,,
Last Updated Date,,,,,,
,,,,,,
,Population,100*Trade/GDP,100-C,2017,,
Czech Republic,10594438,72.202798068737,27.797201931263,215913545038.43,,
Germany,82657002,40.2959639320922,59.7040360679078,3665804120835.3,,
Djibouti,944097,156.500382600729,-56.500382600729,2751461055.59307,,
Dominica,71458,59.6251603066488,40.3748396933512,519837037.037037,,
Denmark,5764980,48.1422353799985,51.8577646200015,329417067127.817,,
Dominican Republic,10513131,26.5429400821881,73.4570599178119,79997975621.8654,,
Algeria,41389198,33.2181290610852,66.7818709389148,167389364980.671,,
East Asia & Pacific (excluding high income),2068142784,23.1712096357403,76.8287903642597,14835611946612.9,,
Early-demographic dividend,3206361023,27.6228333197428,72.3771666802572,11377092504041.2,,
East Asia & Pacific,2314097713,26.8700597876921,73.1299402123079,24223285701971.4,,
Europe & Central Asia (excluding high income),395289709,28.8200578661695,71.1799421338305,3108431403073.36,,
Europe & Central Asia,914585461,39.7150525287752,60.2849474712248,21581860912437,,
Ecuador,16785361,21.5889034983957,78.4110965016043,104295862000,,
"Egypt, Arab Rep.",96442593,29.3083573487032,70.6916426512968,235369129337.711,,
Euro area,341163597,41.4771702890569,58.5228297109431,12655504662573.8,,
,,,,,,
Spain,46593236,31.5991868337295,68.4008131662705,1312551705955.3,,
Estonia,1317384,71.8574286059871,28.1425713940129,26859101053.8139,,
Ethiopia,106400024,23.4742626798764,76.5257373201236,81770791970.982,,
European Union,446131273,42.7459149103085,57.2540850896915,14735710571465.3,,
,,,,1550106897220.83,,
Finland,5508214,37.5609043825519,62.4390956174481,255122545770.778,,
,,,,5353404422.08138,,
France,66864379,32.0132141063066,67.9867858936934,2595151045197.65,,
,,,,2833300519.46872,,
"Micronesia, Fed. Sts.",111459,71.063292340621,28.936707659379,366666800,,
Gabon,2064823,24.8419864730712,75.1580135269288,14929488770.7315,,
United Kingdom,66058859,31.579013422524,68.420986577476,2666229179958.01,,
Georgia,3728004,57.5124627100016,42.4875372899984,16242916915.7203,,
Ghana,29121471,38.3902007441113,61.6097992558887,58998132329.6173,,
,,,,,,
Guinea,12067539,68.5812747336483,31.4187252663517,10336634798.7593,,
"Gambia, The",2213894,38.9907995485091,61.0092004514909,1498044491.4304,,
Guinea-Bissau,1828146,33.0730442981032,66.9269557018968,1346841897.00437,,
Equatorial Guinea,1262001,43.5651530381,56.4348469619,12200914929.5961,,
Greece,10754679,34.0101586285405,65.9898413714595,203588424288.428,,
Grenada,110874,53.1861746755063,46.8138253244937,1125685185.18519,,
Greenland,56172,43.9731891706538,56.0268108293462,2826651925.66902,,
Guatemala,16087418,27.6179843395674,72.3820156604326,71612352781.0667,,
Guam,164281,51.717655101692,48.282344898308,5851000000,,
Guyana,775221,46.2412313559899,53.7587686440101,3555205811.13802,,
High income,1225031047,30.2532269085375,69.7467730914625,51416068828736.8,,
"Hong Kong SAR, China",7391700,187.909305312809,-87.909305312809,341244161576.759,,
Honduras,9429013,58.7192562426045,41.2807437573955,23136232229.6069,,
Heavily indebted poor countries (HIPC),759106221,31.9822203035228,68.0177796964772,705521452844.014,,
Croatia,4124531,49.4091576471102,50.5908423528898,55319605060.5393,,
Haiti,10982366,56.4808121871552,43.5191878128448,8409497402.4589,,
Hungary,9787966,79.8541973019801,20.1458026980199,141510583019.556,,
IBRD only,4736161411,25.23990332841,74.76009667159,28851320771455,,
IDA & IBRD total,6333378175,25.2514243613384,74.7485756386616,30941555943939.8,,
IDA total,1597216764,25.4345391372031,74.5654608627969,2096707795621.73,,
IDA blend,536862922,18.2041042377026,81.7958957622974,920435301795.34,,
Indonesia,264645886,19.17819263535,80.82180736465,1015618742565.81,,
IDA only,1060353842,31.8861800985044,68.1138199014956,1177370035220.26,,
,,,,6770532818.53282,,
India,1338658835,21.940126113982,78.059873886018,2652754685834.59,,
,,,,,,
Ireland,4807388,98.9557600863141,1.0442399136859,335663113959.724,,
"Iran, Islamic Rep.",80673951,23.8384608001943,76.1615391998057,445345282122.682,,
Iraq,37552781,35.6371495455494,64.3628504544506,195473049875.127,,
Iceland,343400,41.9627875536719,58.0372124463281,24488176539.6549,,
Israel,8713300,27.5215154198101,72.4784845801899,353253406954.97,,
Italy,60536709,27.8704426276557,72.1295573723443,1961796197354.36,,
Jamaica,2920853,48.8845117343982,51.1154882656018,14806340821.0871,,
Jordan,9779173,56.3533292853597,43.6466707146403,40708943661.9718,,
Japan,126785797,16.8215858877511,83.1784141122489,4866864409657.68,,
Kazakhstan,18037776,24.427637021828,75.572362978172,166805800595.704,,
Kenya,50221473,24.1628732428849,75.8371267571151,78965004656.1823,,
Kyrgyz Republic,6198200,66.3646044484224,33.6353955515776,7702934800.12836,,
Cambodia,16009414,64.1058157410442,35.8941842589558,22177200511.5811,,
Kiribati,114158,103.897560137176,-3.897560137176,187276210.91355,,
St. Kitts and Nevis,52045,54.3888131424771,45.6111868575229,996937037.037037,,
"Korea, Rep.",51361911,36.1867108656532,63.8132891343468,1623901496835.79,,
Kuwait,4056099,46.6450881577689,53.3549118422311,120707220573.689,,
Latin America & Caribbean (excluding high income),602426586,21.2948806898699,78.7051193101301,5416130983383.76,,
,,,,16853087485.4118,,
Lebanon,6811873,46.4295934881725,53.5704065118275,53140638269.1211,,
Liberia,4702228,98.7056891663407,1.2943108336593,3285455000,,
Libya,6580724,39.7890861964296,60.2109138035704,37883243650.452,,
,,,,1999090407.40741,,
Latin America & Caribbean,634545282,22.1617515198963,77.8382484801037,5985647360814.57,,
Least developed countries: UN classification,986365080,28.9844891850151,71.0155108149849,1027031212048.55,,
Low income,634796692,30.3603183551647,69.6396816448353,494892781230.879,,
,,,,6552858738.70214,,
Sri Lanka,21444000,29.0553049222384,70.9446950777616,87428125557.573,,
Lower middle income,2831466703,29.622101708303,70.377898291697,5761733418445.18,,
Low & middle income,6284034658,24.2551872386995,75.7448127613005,29845120321213.1,,
Lesotho,2091412,90.2107362160183,9.7892637839817,2405289382.35938,,
Late-demographic dividend,2275525382,26.9564171555286,73.0435828444714,20551045153102.9,,
Lithuania,2828403,71.2221455107718,28.7778544892282,47750908128.259,,
Luxembourg,596336,182.458110700508,-82.458110700508,64181944722.7283,,
Latvia,1942248,61.9703055840373,38.0296944159627,30273007510.3024,,
"Macao SAR, China",622585,33.3323513237489,66.6676486762511,50751059058.0613,,
,,,,,,
Morocco,35581294,46.7618876551581,53.2381123448419,109714300453.983,,
,,,,6431314957.07185,,
Moldova,2755158,54.5384300134017,45.4615699865983,9669759987.02633,,
Madagascar,25570540,34.4407715736902,65.5592284263098,13176313233.1978,,
Maldives,496402,73.9312989550363,26.0687010449637,4735989972.05433,,
Middle East & North Africa,441255236,38.2094147193143,61.7905852806857,3270329262072.42,,
Mexico,124777324,39.5042984417504,60.4957015582496,1157736189998.15,,
Marshall Islands,58058,83.7438756864164,16.2561243135836,212881000,,
Middle income,5649237966,24.1762659562247,75.8237340437753,29337418670054.4,,
North Macedonia,2081996,68.9915645536526,31.0084354463474,11307058382.3435,,
Mali,18512394,35.8310844971824,64.1689155028176,15375605991.6302,,
Malta,467999,128.45985856233,-28.45985856233,12747857570.0407,,
Myanmar,53382581,34.0891936609382,65.9108063390618,68945867477.6054,,
Middle East & North Africa (excluding high income),376546755,32.883561130894,67.116438869106,1428592790217.68,,
Montenegro,622373,64.4997744872114,35.5002255127886,4856632399.45775,,
Mongolia,3113779,57.4286509484897,42.5713490515103,11425755279.5254,,
Northern Mariana Islands,56562,51.9050593379138,48.0949406620862,1601000000,,
Mozambique,28649007,61.1397606569416,38.8602393430584,13219084261.3664,,
Mauritania,4282574,52.8935241712444,47.1064758287556,6758390728.71734,,
Mauritius,1264613,54.9137031633789,45.0862968366211,13259351418.4459,,
Malawi,17670260,36.1670266760313,63.8329733239687,6303292264.18905,,
Malaysia,31105028,63.1739338372527,36.8260661627473,318958236443.122,,
North America,361592733,16.733300141433,83.266699858567,21141594444340.1,,
Namibia,2402603,48.1719382439138,51.8280617560862,12741746433.6716,,
,,,,,,
Niger,21602472,26.2999085487458,73.7000914512542,11166063886.8555,,
Nigeria,190873311,13.1760368999616,86.8239631000384,375745486520.656,,
Nicaragua,6384855,55.0412764313991,44.9587235686009,13785943183.0661,,
Netherlands,17131296,72.6364431968743,27.3635568031257,833869641687.06,,
Norway,5276968,32.8314289511808,67.1685710488192,398393955268.99,,
Nepal,27627124,42.3751121565808,57.6248878434192,25180583770.2719,,
Nauru,12876,81.899518238128,18.100481761872,109585941.624557,,
New Zealand,4793900,26.3669821240799,73.6330178759201,205415864857.984,,
OECD members,1344863242,28.2026259321517,71.7973740678483,50257605239562,,
Oman,4665935,49.5179715387704,50.4820284612296,70600000000,,
Other small states,30148800,50.8182371077348,49.1817628922652,404126868252.701,,
Pakistan,207896686,17.5955165571328,82.4044834428672,304567253219.097,,
Panama,4106771,45.8853404908469,54.1146595091531,62219000000,,
Peru,31444297,22.7936783872998,77.2063216127002,211007207483.515,,
Philippines,105173264,38.6160788878816,61.3839211121184,328480738147.729,,
Palau,17808,77.3533136491877,22.6466863508123,286321800,,
,,,,22742613553.6879,,
Poland,37974826,50.1550505667426,49.8449494332574,526380811261.345,,
Pre-demographic dividend,894512725,25.2981100023767,74.7018899976233,1265557357216.69,,
Puerto Rico,3325286,44.4082149537679,55.5917850462321,103445500000,,
,,,,,,
Portugal,10300300,41.7148741234948,58.2851258765052,221357874718.93,,
Paraguay,6867062,32.2986257163429,67.7013742836571,39008900331.6733,,
West Bank and Gaza,4454805,55.6397045130052,44.3602954869948,14498100000,,
,,,,10008508092.0496,,
Post-demographic dividend,1105771602,28.923264484927,71.076735515073,47415034220935.9,,
,,,,,,
Qatar,2724724,37.2570027319706,62.7429972680294,166928571428.571,,
Romania,19587290,43.5940639404067,56.4059360595933,211695422578.655,,
Russian Federation,144496740,20.7856433573743,79.2143566426257,1574199387070.9,,
Rwanda,11980937,31.4598828161452,68.5401171838548,9253098954.27769,,
South Asia,1792835608,21.9640257747474,78.0359742252526,3347019816218.73,,
Saudi Arabia,33099147,29.3421244342998,70.6578755657002,688586133333.333,,
Sudan,40813396,11.8153243800271,88.1846756199729,45379127306.436,,
Senegal,15419381,35.775196697845,64.224803302155,20996564751.5994,,
Singapore,5612253,145.307195340781,-45.307195340781,341863349989.138,,
,,,,1309631133.19979,,
Sierra Leone,7488431,48.0339464617707,51.9660535382293,3739577973.23943,,
El Salvador,6388122,45.2748686907507,54.7251313092493,24979200000,,
San Marino,33671,100.010635792844,-0.010635792844,1528468142.79259,,
,,,,,,
Serbia,7020858,57.1320754796352,42.8679245203648,44120425319.8576,,
Sub-Saharan Africa (excluding high income),1048793216,25.5630603288945,74.4369396711055,1624372548153.57,,
,,,,,,
Sub-Saharan Africa,1050153672,25.8887892860184,74.1112107139816,1639171578758.92,,
Small states,39885876,50.5088154414684,49.4911845585316,484048521232.165,,
,,,,375040835.10034,,
,,,,3210064505.78949,,
Slovak Republic,5439232,92.9605858547623,7.0394141452377,95481955557.6908,,
Slovenia,2066388,73.9660327409365,26.0339672590635,48561672400.8437,,
Sweden,10057698,41.2000275021437,58.7999724978563,541018749769.097,,
Eswatini,1124753,43.8397192579178,56.1602807420822,4446248676.29633,,
Sint Maarten (Dutch part),40574,101.482338678569,-1.482338678569,,,
Seychelles,95843,100.71297176445,-0.71297176445,1524486801.19044,,
,,,,,,
,,,,962525840,,
Chad,15016773,39.7020456976579,60.2979543023421,10000395242.1457,,
East Asia & Pacific (IDA & IBRD countries),2042687863,23.1714623075847,76.8285376924153,14807303641278,,
Europe & Central Asia (IDA & IBRD countries),456976356,32.8966548276173,67.1033451723827,3901827241973.9,,
Togo,7698475,43.7309700951265,56.2690299048735,4819949975.18151,,
Thailand,69209858,54.2259926048092,45.7740073951908,456294704152.647,,
Tajikistan,8880268,40.9215394067741,59.0784605932259,7157865188.25222,,
Turkmenistan,5757669,31.1069593647828,68.8930406352172,37926285714.2857,,
Latin America & the Caribbean (IDA & IBRD countries),618632726,21.8394535000938,78.1605464999062,5745984224045.25,,
Timor-Leste,1243261,54.1254300446534,45.8745699553466,1609669330.12439,,
Middle East & North Africa (IDA & IBRD countries),372091950,32.7189781310515,67.2810218689485,1413870262588.08,,
Tonga,101998,70.3123356819855,29.6876643180145,430174168.740104,,
South Asia (IDA & IBRD),1792835608,21.9640257747474,78.0359742252526,3347019816218.73,,
Sub-Saharan Africa (IDA & IBRD countries),1050153672,25.8887892860184,74.1112107139816,1639171578758.92,,
,,,,22474828527.1775,,
Tunisia,11433443,56.9581922781366,43.0418077218634,39802430354.6334,,
Turkey,81101892,29.2845159096901,70.7154840903099,852676779693.539,,
Tuvalu,11370,,100,40619251.9926426,,
Tanzania,54663906,17.098663264222,82.901336735778,53320625958.5628,,
Uganda,41162465,20.1759235118685,79.8240764881315,30756466548.0543,,
Ukraine,44831135,55.7035432366293,44.2964567633707,112190355158.178,,
Upper middle income,2817771263,22.8146743806862,77.1853256193138,23570009724735.5,,
Uruguay,3436646,18.3348262280759,81.6651737719241,59530088536.2179,,
United States,324985539,15.0474864512352,84.9525135487648,19485393853000,,
Uzbekistan,32388600,23.8777966669952,76.1222033330048,59159945320.5667,,
,,,,792177777.777778,,
,,,,,,
,,,,,,
Virgin Islands (U.S.),107268,78.5732814526589,21.4267185473411,3855000000,,
Vietnam,94596642,98.7911445822242,1.2088554177758,223779865815.183,,
,,,,880043553.748442,,
,,,,81229182706392.5,,
Samoa,195352,47.1710723307155,52.8289276692845,831903809.749172,,
Kosovo,1791003,52.532780367639,47.467219632361,7245707184.81699,,
,,,,24561327989.312,,
South Africa,57000451,28.3462255610144,71.6537744389856,349554116683.818,,
Zambia,16853688,36.5928698054053,63.4071301945947,25868142076.7897,,
Zimbabwe,14236745,30.3702729992138,69.6297270007862,22040902300,,
